Date,Levels
01.01.1995 00:00:00   ,230.55
01.02.1995 00:00:00   ,230.97
01.03.1995 00:00:00   ,231.39
01.04.1995 00:00:00   ,230.78
01.05.1995 00:00:00   ,230.49
01.06.1995 00:00:00   ,231.34
01.07.1995 00:00:00   ,230.35
01.08.1995 00:00:00   ,230.09
01.09.1995 00:00:00   ,230.39
01.10.1995 00:00:00   ,230.0
01.11.1995 00:00:00   ,229.94
01.12.1995 00:00:00   ,230.14
01.01.1996 00:00:00   ,230.97
01.02.1996 00:00:00   ,230.93
01.03.1996 00:00:00   ,231.44
01.04.1996 00:00:00   ,232.3
01.05.1996 00:00:00   ,231.02
01.06.1996 00:00:00   ,230.78
01.07.1996 00:00:00   ,230.55
01.08.1996 00:00:00   ,230.33
01.09.1996 00:00:00   ,230.53
01.10.1996 00:00:00   ,231.18
01.11.1996 00:00:00   ,231.11
01.12.1996 00:00:00   ,231.27
01.01.1997 00:00:00   ,230.81
01.02.1997 00:00:00   ,230.95
01.03.1997 00:00:00   ,230.96
01.04.1997 00:00:00   ,230.53
01.05.1997 00:00:00   ,230.38
01.06.1997 00:00:00   ,230.4
01.07.1997 00:00:00   ,230.85
01.08.1997 00:00:00   ,231.26
01.09.1997 00:00:00   ,230.6
01.10.1997 00:00:00   ,230.27
01.11.1997 00:00:00   ,230.11
01.12.1997 00:00:00   ,230.86
01.01.1998 00:00:00   ,230.94
01.02.1998 00:00:00   ,230.48
01.03.1998 00:00:00   ,230.48
01.04.1998 00:00:00   ,230.51
01.05.1998 00:00:00   ,230.15
01.06.1998 00:00:00   ,230.11
01.07.1998 00:00:00   ,230.29
01.08.1998 00:00:00   ,230.34
01.09.1998 00:00:00   ,230.9
01.10.1998 00:00:00   ,231.41
01.11.1998 00:00:00   ,231.73
01.12.1998 00:00:00   ,231.13
01.01.1999 00:00:00   ,231.12
01.02.1999 00:00:00   ,230.94
01.03.1999 00:00:00   ,230.85
01.04.1999 00:00:00   ,231.04
01.05.1999 00:00:00   ,231.5
01.06.1999 00:00:00   ,231.16
01.07.1999 00:00:00   ,230.74
01.08.1999 00:00:00   ,230.64
01.09.1999 00:00:00   ,230.4
01.10.1999 00:00:00   ,230.17
01.11.1999 00:00:00   ,230.26
01.12.1999 00:00:00   ,230.74
01.01.2000 00:00:00   ,230.61
01.02.2000 00:00:00   ,230.87
01.03.2000 00:00:00   ,230.75
01.04.2000 00:00:00   ,230.52
01.05.2000 00:00:00   ,230.24
01.06.2000 00:00:00   ,230.03
01.07.2000 00:00:00   ,229.91
01.08.2000 00:00:00   ,229.84
01.09.2000 00:00:00   ,229.82
01.10.2000 00:00:00   ,229.86
01.11.2000 00:00:00   ,230.28
01.12.2000 00:00:00   ,230.47
01.01.2001 00:00:00   ,230.99
01.02.2001 00:00:00   ,230.81
01.03.2001 00:00:00   ,230.53
01.04.2001 00:00:00   ,230.95
01.05.2001 00:00:00   ,230.59
01.06.2001 00:00:00   ,230.14
01.07.2001 00:00:00   ,229.99
01.08.2001 00:00:00   ,229.85
01.09.2001 00:00:00   ,229.88
01.10.2001 00:00:00   ,229.93
01.11.2001 00:00:00   ,229.79
01.12.2001 00:00:00   ,229.7
01.01.2002 00:00:00   ,229.62
01.02.2002 00:00:00   ,229.64
01.03.2002 00:00:00   ,229.6
01.04.2002 00:00:00   ,229.58
01.05.2002 00:00:00   ,229.57
01.06.2002 00:00:00   ,229.5
01.07.2002 00:00:00   ,229.44
01.08.2002 00:00:00   ,229.26
01.09.2002 00:00:00   ,229.47
01.10.2002 00:00:00   ,229.65
01.11.2002 00:00:00   ,229.62
01.12.2002 00:00:00   ,230.19
01.01.2003 00:00:00   ,230.57
01.02.2003 00:00:00   ,230.32
01.03.2003 00:00:00   ,230.11
01.04.2003 00:00:00   ,229.92
01.05.2003 00:00:00   ,229.79
01.06.2003 00:00:00   ,229.71
01.07.2003 00:00:00   ,229.64
01.08.2003 00:00:00   ,229.52
01.09.2003 00:00:00   ,229.44
01.10.2003 00:00:00   ,229.44
01.11.2003 00:00:00   ,229.44
01.12.2003 00:00:00   ,229.41
01.01.2004 00:00:00   ,229.46
01.02.2004 00:00:00   ,229.48
01.03.2004 00:00:00   ,230.06
01.04.2004 00:00:00   ,230.41
01.05.2004 00:00:00   ,230.07
01.06.2004 00:00:00   ,230.28
01.07.2004 00:00:00   ,230.51
01.08.2004 00:00:00   ,230.36
01.09.2004 00:00:00   ,229.96
01.10.2004 00:00:00   ,229.86
01.11.2004 00:00:00   ,229.99
01.12.2004 00:00:00   ,229.85
01.01.2005 00:00:00   ,229.93
01.02.2005 00:00:00   ,229.81
01.03.2005 00:00:00   ,230.38
01.04.2005 00:00:00   ,230.45
01.05.2005 00:00:00   ,230.24
01.06.2005 00:00:00   ,229.93
01.07.2005 00:00:00   ,230.34
01.08.2005 00:00:00   ,230.86
01.09.2005 00:00:00   ,230.56
01.10.2005 00:00:00   ,230.05
01.11.2005 00:00:00   ,229.92
01.12.2005 00:00:00   ,230.71
01.01.2006 00:00:00   ,231.15
01.02.2006 00:00:00   ,230.67
01.03.2006 00:00:00   ,231.31
01.04.2006 00:00:00   ,230.82
01.05.2006 00:00:00   ,230.95
01.06.2006 00:00:00   ,231.07
01.07.2006 00:00:00   ,230.36
01.08.2006 00:00:00   ,230.22
01.09.2006 00:00:00   ,230.01
01.10.2006 00:00:00   ,229.84
01.11.2006 00:00:00   ,229.77
01.12.2006 00:00:00   ,229.73
01.01.2007 00:00:00   ,229.77
01.02.2007 00:00:00   ,229.86
01.03.2007 00:00:00   ,230.4
01.04.2007 00:00:00   ,230.44
01.05.2007 00:00:00   ,230.2
01.06.2007 00:00:00   ,230.14
01.07.2007 00:00:00   ,229.94
01.08.2007 00:00:00   ,229.77
01.09.2007 00:00:00   ,230.13
01.10.2007 00:00:00   ,230.59
01.11.2007 00:00:00   ,230.97
01.12.2007 00:00:00   ,230.97
01.01.2008 00:00:00   ,230.59
01.02.2008 00:00:00   ,230.3
01.03.2008 00:00:00   ,230.17
01.04.2008 00:00:00   ,230.07
01.05.2008 00:00:00   ,229.97
01.06.2008 00:00:00   ,230.01
01.07.2008 00:00:00   ,230.44
01.08.2008 00:00:00   ,230.14
01.09.2008 00:00:00   ,229.96
01.10.2008 00:00:00   ,
01.11.2008 00:00:00   ,
01.12.2008 00:00:00   ,
01.01.2009 00:00:00   ,
01.02.2009 00:00:00   ,231.52
01.03.2009 00:00:00   ,231.26
01.04.2009 00:00:00   ,230.61
01.05.2009 00:00:00   ,230.18
01.06.2009 00:00:00   ,230.3
01.07.2009 00:00:00   ,231.44
01.08.2009 00:00:00   ,230.98
01.09.2009 00:00:00   ,230.62
01.10.2009 00:00:00   ,230.48
01.11.2009 00:00:00   ,230.48
01.12.2009 00:00:00   ,231.12
01.01.2010 00:00:00   ,231.56
01.02.2010 00:00:00   ,231.35
01.03.2010 00:00:00   ,231.27
01.04.2010 00:00:00   ,230.79
01.05.2010 00:00:00   ,230.49
01.06.2010 00:00:00   ,230.84
01.07.2010 00:00:00   ,230.54
01.08.2010 00:00:00   ,231.09
01.09.2010 00:00:00   ,231.06
01.10.2010 00:00:00   ,231.42
01.11.2010 00:00:00   ,231.18
01.12.2010 00:00:00   ,231.62
01.01.2011 00:00:00   ,231.24
01.02.2011 00:00:00   ,230.99
01.03.2011 00:00:00   ,230.78
01.04.2011 00:00:00   ,230.69
01.05.2011 00:00:00   ,231.19
01.06.2011 00:00:00   ,230.69
01.07.2011 00:00:00   ,230.62
01.08.2011 00:00:00   ,230.54
