Date,Levels
01.01.1999 00:00:00   ,324.14
01.02.1999 00:00:00   ,324.13
01.03.1999 00:00:00   ,324.12
01.04.1999 00:00:00   ,324.2
01.05.1999 00:00:00   ,324.29
01.06.1999 00:00:00   ,324.12
01.07.1999 00:00:00   ,324.03
01.08.1999 00:00:00   ,324.09
01.09.1999 00:00:00   ,324.1
01.10.1999 00:00:00   ,324.03
01.11.1999 00:00:00   ,323.93
01.12.1999 00:00:00   ,324.09
01.01.2000 00:00:00   ,324.03
01.02.2000 00:00:00   ,324.33
01.03.2000 00:00:00   ,324.22
01.04.2000 00:00:00   ,324.22
01.05.2000 00:00:00   ,324.0
01.06.2000 00:00:00   ,323.8
01.07.2000 00:00:00   ,323.58
01.08.2000 00:00:00   ,323.46
01.09.2000 00:00:00   ,323.27
01.10.2000 00:00:00   ,323.26
01.11.2000 00:00:00   ,323.76
01.12.2000 00:00:00   ,324.02
01.01.2001 00:00:00   ,324.23
01.02.2001 00:00:00   ,324.16
01.03.2001 00:00:00   ,324.08
01.04.2001 00:00:00   ,324.05
01.05.2001 00:00:00   ,323.95
01.06.2001 00:00:00   ,323.78
01.07.2001 00:00:00   ,323.58
01.08.2001 00:00:00   ,323.34
01.09.2001 00:00:00   ,323.12
01.10.2001 00:00:00   ,323.02
01.11.2001 00:00:00   ,322.99
01.12.2001 00:00:00   ,322.96
01.01.2002 00:00:00   ,322.95
01.02.2002 00:00:00   ,322.96
01.03.2002 00:00:00   ,323.0
01.04.2002 00:00:00   ,323.01
01.05.2002 00:00:00   ,323.02
01.06.2002 00:00:00   ,323.0
01.07.2002 00:00:00   ,323.0
01.08.2002 00:00:00   ,323.1
01.09.2002 00:00:00   ,323.01
01.10.2002 00:00:00   ,323.01
01.11.2002 00:00:00   ,323.08
01.12.2002 00:00:00   ,323.37
01.01.2003 00:00:00   ,323.51
01.02.2003 00:00:00   ,323.63
01.03.2003 00:00:00   ,323.62
01.04.2003 00:00:00   ,323.65
01.05.2003 00:00:00   ,323.62
01.06.2003 00:00:00   ,323.46
01.07.2003 00:00:00   ,323.23
01.08.2003 00:00:00   ,323.1
01.09.2003 00:00:00   ,322.99
01.10.2003 00:00:00   ,323.01
01.11.2003 00:00:00   ,322.98
01.12.2003 00:00:00   ,322.97
01.01.2004 00:00:00   ,323.08
01.02.2004 00:00:00   ,323.16
01.03.2004 00:00:00   ,323.33
01.04.2004 00:00:00   ,323.59
01.05.2004 00:00:00   ,323.63
01.06.2004 00:00:00   ,324.02
01.07.2004 00:00:00   ,324.02
01.08.2004 00:00:00   ,324.06
01.09.2004 00:00:00   ,323.85
01.10.2004 00:00:00   ,323.74
01.11.2004 00:00:00   ,323.8
01.12.2004 00:00:00   ,323.85
01.01.2005 00:00:00   ,323.94
01.02.2005 00:00:00   ,323.89
01.03.2005 00:00:00   ,324.03
01.04.2005 00:00:00   ,324.09
01.05.2005 00:00:00   ,323.97
01.06.2005 00:00:00   ,323.76
01.07.2005 00:00:00   ,323.69
01.08.2005 00:00:00   ,323.74
01.09.2005 00:00:00   ,323.77
01.10.2005 00:00:00   ,323.76
01.11.2005 00:00:00   ,323.74
01.12.2005 00:00:00   ,323.89
01.01.2006 00:00:00   ,324.0
01.02.2006 00:00:00   ,324.01
01.03.2006 00:00:00   ,324.17
01.04.2006 00:00:00   ,324.12
01.05.2006 00:00:00   ,324.32
01.06.2006 00:00:00   ,324.21
