Date,Levels
01.01.1988 00:00:00   ,227.71
01.02.1988 00:00:00   ,229.18
01.03.1988 00:00:00   ,228.81
01.04.1988 00:00:00   ,228.26
01.05.1988 00:00:00   ,227.86
01.06.1988 00:00:00   ,227.65
01.07.1988 00:00:00   ,227.39
01.08.1988 00:00:00   ,227.04
01.09.1988 00:00:00   ,227.14
01.10.1988 00:00:00   ,227.15
01.11.1988 00:00:00   ,227.02
01.12.1988 00:00:00   ,226.92
01.01.1989 00:00:00   ,226.82
01.02.1989 00:00:00   ,226.73
01.03.1989 00:00:00   ,226.77
01.04.1989 00:00:00   ,227.01
01.05.1989 00:00:00   ,227.52
01.06.1989 00:00:00   ,228.43
01.07.1989 00:00:00   ,227.93
01.08.1989 00:00:00   ,227.74
01.09.1989 00:00:00   ,228.15
01.10.1989 00:00:00   ,227.81
01.11.1989 00:00:00   ,227.5
01.12.1989 00:00:00   ,227.21
01.01.1990 00:00:00   ,226.99
01.02.1990 00:00:00   ,226.9
01.03.1990 00:00:00   ,226.9
01.04.1990 00:00:00   ,227.13
01.05.1990 00:00:00   ,227.19
01.06.1990 00:00:00   ,227.03
01.07.1990 00:00:00   ,226.87
01.08.1990 00:00:00   ,226.34
01.09.1990 00:00:00   ,226.4
01.10.1990 00:00:00   ,226.48
01.11.1990 00:00:00   ,226.95
01.12.1990 00:00:00   ,227.1
01.01.1991 00:00:00   ,227.24
01.02.1991 00:00:00   ,227.25
01.03.1991 00:00:00   ,227.37
01.04.1991 00:00:00   ,227.72
01.05.1991 00:00:00   ,227.98
01.06.1991 00:00:00   ,228.19
01.07.1991 00:00:00   ,228.39
01.08.1991 00:00:00   ,228.41
01.09.1991 00:00:00   ,227.74
01.10.1991 00:00:00   ,227.5
01.11.1991 00:00:00   ,227.86
01.12.1991 00:00:00   ,228.66
01.01.1992 00:00:00   ,227.95
01.02.1992 00:00:00   ,227.54
01.03.1992 00:00:00   ,227.58
01.04.1992 00:00:00   ,228.11
01.05.1992 00:00:00   ,228.11
01.06.1992 00:00:00   ,227.88
01.07.1992 00:00:00   ,227.06
01.08.1992 00:00:00   ,226.24
01.09.1992 00:00:00   ,225.89
01.10.1992 00:00:00   ,226.2
01.11.1992 00:00:00   ,227.19
01.12.1992 00:00:00   ,227.1
01.01.1993 00:00:00   ,226.76
01.02.1993 00:00:00   ,226.43
01.03.1993 00:00:00   ,226.23
01.04.1993 00:00:00   ,226.21
01.05.1993 00:00:00   ,226.27
01.06.1993 00:00:00   ,225.78
01.07.1993 00:00:00   ,225.55
01.08.1993 00:00:00   ,225.4
01.09.1993 00:00:00   ,225.28
01.10.1993 00:00:00   ,225.23
01.11.1993 00:00:00   ,225.45
01.12.1993 00:00:00   ,225.8
01.01.1994 00:00:00   ,226.6
01.02.1994 00:00:00   ,226.54
01.03.1994 00:00:00   ,226.6
01.04.1994 00:00:00   ,227.35
01.05.1994 00:00:00   ,227.83
01.06.1994 00:00:00   ,228.04
01.07.1994 00:00:00   ,227.67
01.08.1994 00:00:00   ,226.98
01.09.1994 00:00:00   ,226.86
01.10.1994 00:00:00   ,227.02
01.11.1994 00:00:00   ,227.44
01.12.1994 00:00:00   ,227.37
01.01.1995 00:00:00   ,227.31
01.02.1995 00:00:00   ,227.46
01.03.1995 00:00:00   ,228.68
01.04.1995 00:00:00   ,228.46
01.05.1995 00:00:00   ,228.21
01.06.1995 00:00:00   ,228.14
01.07.1995 00:00:00   ,227.84
01.08.1995 00:00:00   ,227.42
01.09.1995 00:00:00   ,227.47
01.10.1995 00:00:00   ,227.29
01.11.1995 00:00:00   ,227.16
01.12.1995 00:00:00   ,227.4
01.01.1996 00:00:00   ,227.97
01.02.1996 00:00:00   ,228.0
01.03.1996 00:00:00   ,228.18
01.04.1996 00:00:00   ,229.24
01.05.1996 00:00:00   ,228.81
01.06.1996 00:00:00   ,228.41
01.07.1996 00:00:00   ,228.1
01.08.1996 00:00:00   ,227.63
01.09.1996 00:00:00   ,227.6
01.10.1996 00:00:00   ,227.77
01.11.1996 00:00:00   ,227.75
01.12.1996 00:00:00   ,227.72
01.01.1997 00:00:00   ,227.65
01.02.1997 00:00:00   ,227.7
01.03.1997 00:00:00   ,227.93
01.04.1997 00:00:00   ,227.74
01.05.1997 00:00:00   ,227.55
01.06.1997 00:00:00   ,227.41
01.07.1997 00:00:00   ,227.67
01.08.1997 00:00:00   ,227.67
01.09.1997 00:00:00   ,227.26
01.10.1997 00:00:00   ,226.95
01.11.1997 00:00:00   ,226.83
01.12.1997 00:00:00   ,227.19
01.01.1998 00:00:00   ,227.34
01.02.1998 00:00:00   ,227.2
01.03.1998 00:00:00   ,227.21
01.04.1998 00:00:00   ,227.67
01.05.1998 00:00:00   ,227.87
01.06.1998 00:00:00   ,226.8
01.07.1998 00:00:00   ,227.1
01.08.1998 00:00:00   ,226.95
01.09.1998 00:00:00   ,227.79
01.10.1998 00:00:00   ,228.46
01.11.1998 00:00:00   ,228.91
01.12.1998 00:00:00   ,228.46
01.01.1999 00:00:00   ,228.05
01.02.1999 00:00:00   ,227.79
01.03.1999 00:00:00   ,227.77
01.04.1999 00:00:00   ,227.78
01.05.1999 00:00:00   ,228.13
01.06.1999 00:00:00   ,228.48
01.07.1999 00:00:00   ,227.99
01.08.1999 00:00:00   ,227.61
01.09.1999 00:00:00   ,227.36
01.10.1999 00:00:00   ,227.0
01.11.1999 00:00:00   ,226.8
01.12.1999 00:00:00   ,226.86
01.01.2000 00:00:00   ,226.77
01.02.2000 00:00:00   ,226.95
01.03.2000 00:00:00   ,227.24
01.04.2000 00:00:00   ,227.22
01.05.2000 00:00:00   ,226.88
01.06.2000 00:00:00   ,226.45
01.07.2000 00:00:00   ,226.2
01.08.2000 00:00:00   ,225.97
01.09.2000 00:00:00   ,225.82
01.10.2000 00:00:00   ,226.56
01.11.2000 00:00:00   ,227.2
01.12.2000 00:00:00   ,227.35
01.01.2001 00:00:00   ,227.57
01.02.2001 00:00:00   ,227.65
01.03.2001 00:00:00   ,227.72
01.04.2001 00:00:00   ,228.1
01.05.2001 00:00:00   ,227.96
01.06.2001 00:00:00   ,227.24
01.07.2001 00:00:00   ,226.71
01.08.2001 00:00:00   ,226.09
01.09.2001 00:00:00   ,225.99
01.10.2001 00:00:00   ,225.92
01.11.2001 00:00:00   ,225.78
01.12.2001 00:00:00   ,225.76
01.01.2002 00:00:00   ,225.64
01.02.2002 00:00:00   ,225.82
01.03.2002 00:00:00   ,226.29
01.04.2002 00:00:00   ,226.56
01.05.2002 00:00:00   ,226.31
01.06.2002 00:00:00   ,225.58
01.07.2002 00:00:00   ,225.36
01.08.2002 00:00:00   ,225.32
01.09.2002 00:00:00   ,
01.10.2002 00:00:00   ,
01.11.2002 00:00:00   ,225.36
01.12.2002 00:00:00   ,226.11
01.01.2003 00:00:00   ,226.28
01.02.2003 00:00:00   ,226.42
01.03.2003 00:00:00   ,226.72
01.04.2003 00:00:00   ,227.38
01.05.2003 00:00:00   ,226.92
01.06.2003 00:00:00   ,226.12
01.07.2003 00:00:00   ,225.62
01.08.2003 00:00:00   ,225.34
01.09.2003 00:00:00   ,225.19
01.10.2003 00:00:00   ,225.17
01.11.2003 00:00:00   ,225.14
01.12.2003 00:00:00   ,225.14
01.01.2004 00:00:00   ,
01.02.2004 00:00:00   ,
01.03.2004 00:00:00   ,226.01
01.04.2004 00:00:00   ,227.43
01.05.2004 00:00:00   ,227.87
01.06.2004 00:00:00   ,227.96
01.07.2004 00:00:00   ,227.9
01.08.2004 00:00:00   ,226.88
01.09.2004 00:00:00   ,226.3
01.10.2004 00:00:00   ,225.91
01.11.2004 00:00:00   ,226.01
01.12.2004 00:00:00   ,225.89
01.01.2005 00:00:00   ,226.13
01.02.2005 00:00:00   ,225.89
01.03.2005 00:00:00   ,226.57
01.04.2005 00:00:00   ,227.59
01.05.2005 00:00:00   ,227.8
01.06.2005 00:00:00   ,226.73
01.07.2005 00:00:00   ,227.25
01.08.2005 00:00:00   ,227.39
01.09.2005 00:00:00   ,227.79
01.10.2005 00:00:00   ,227.5
01.11.2005 00:00:00   ,226.92
01.12.2005 00:00:00   ,227.43
01.01.2006 00:00:00   ,227.72
01.02.2006 00:00:00   ,227.79
01.03.2006 00:00:00   ,228.37
01.04.2006 00:00:00   ,228.66
01.05.2006 00:00:00   ,229.0
01.06.2006 00:00:00   ,229.01
01.07.2006 00:00:00   ,228.34
01.08.2006 00:00:00   ,227.59
01.09.2006 00:00:00   ,227.18
01.10.2006 00:00:00   ,226.43
01.11.2006 00:00:00   ,226.2
01.12.2006 00:00:00   ,226.76
01.01.2007 00:00:00   ,226.88
01.02.2007 00:00:00   ,227.35
01.03.2007 00:00:00   ,228.01
01.04.2007 00:00:00   ,228.31
01.05.2007 00:00:00   ,227.9
01.06.2007 00:00:00   ,227.39
01.07.2007 00:00:00   ,226.58
01.08.2007 00:00:00   ,226.15
01.09.2007 00:00:00   ,226.89
01.10.2007 00:00:00   ,227.45
01.11.2007 00:00:00   ,227.76
01.12.2007 00:00:00   ,227.91
01.01.2008 00:00:00   ,227.82
01.02.2008 00:00:00   ,227.83
01.03.2008 00:00:00   ,227.9
01.04.2008 00:00:00   ,228.05
01.05.2008 00:00:00   ,227.62
01.06.2008 00:00:00   ,227.31
01.07.2008 00:00:00   ,227.04
01.08.2008 00:00:00   ,226.89
01.09.2008 00:00:00   ,226.43
01.10.2008 00:00:00   ,225.92
01.11.2008 00:00:00   ,225.65
01.12.2008 00:00:00   ,225.82
01.01.2009 00:00:00   ,226.47
01.02.2009 00:00:00   ,227.74
01.03.2009 00:00:00   ,227.99
01.04.2009 00:00:00   ,227.98
01.05.2009 00:00:00   ,227.73
01.06.2009 00:00:00   ,227.77
01.07.2009 00:00:00   ,228.73
01.08.2009 00:00:00   ,228.21
01.09.2009 00:00:00   ,227.67
01.10.2009 00:00:00   ,227.21
01.11.2009 00:00:00   ,227.5
01.12.2009 00:00:00   ,227.71
01.01.2010 00:00:00   ,228.06
01.02.2010 00:00:00   ,228.14
01.03.2010 00:00:00   ,228.5
01.04.2010 00:00:00   ,228.44
01.05.2010 00:00:00   ,228.38
01.06.2010 00:00:00   ,228.29
01.07.2010 00:00:00   ,227.72
01.08.2010 00:00:00   ,227.73
01.09.2010 00:00:00   ,227.69
01.10.2010 00:00:00   ,228.02
01.11.2010 00:00:00   ,227.96
01.12.2010 00:00:00   ,228.61
01.01.2011 00:00:00   ,228.4
01.02.2011 00:00:00   ,228.07
01.03.2011 00:00:00   ,227.84
01.04.2011 00:00:00   ,227.71
01.05.2011 00:00:00   ,227.64
01.06.2011 00:00:00   ,227.41
01.07.2011 00:00:00   ,227.19
01.08.2011 00:00:00   ,227.44
01.09.2011 00:00:00   ,227.1
01.10.2011 00:00:00   ,226.82
01.11.2011 00:00:00   ,226.64
01.12.2011 00:00:00   ,226.46
01.01.2012 00:00:00   ,226.3
01.02.2012 00:00:00   ,226.2
01.03.2012 00:00:00   ,226.15
01.04.2012 00:00:00   ,226.14
01.05.2012 00:00:00   ,226.3
01.06.2012 00:00:00   ,226.27
01.07.2012 00:00:00   ,226.11
01.08.2012 00:00:00   ,226.11
01.09.2012 00:00:00   ,225.77
01.10.2012 00:00:00   ,225.94
01.11.2012 00:00:00   ,227.37
01.12.2012 00:00:00   ,227.31
01.01.2013 00:00:00   ,227.3
01.02.2013 00:00:00   ,228.18
01.03.2013 00:00:00   ,229.39
01.04.2013 00:00:00   ,229.35
01.05.2013 00:00:00   ,228.69
